actual_dtg,budget,domestic total gross,genre,movie title,rating,release date,runtime (mins)
198676459,,1768000000,Historical Epic,Gone with the Wind,G,1939-12-15,238
460998007,11000000.0,1261768700,Sci-Fi Fantasy,Star Wars,PG,1977-05-25,121
158671368,8199999.999999999,1258951900,Musical,The Sound of Music,G,1965-03-02,174
435110554,10500000.0,1099155300,Family Adventure,E.T.: The Extra-Terrestrial,PG,1982-06-11,117
658672302,200000000.0,1134577600,Romance,Titanic,PG-13,1997-12-19,194
65500000,,1158040000,Historical Epic,The Ten Commandments,Unrated,1956-10-05,220
260000000,7000000.0,1132216800,Horror Thriller,Jaws,PG,1975-06-20,125
111721910,,1097357400,Romance,Doctor Zhivago,GP,1965-12-22,197
232906145,,912363600,Horror,The Exorcist,R,1973-12-26,122
184925486,1499000.0,684844800,Animation,Snow White and the Seven Dwarfs,G,1937-12-21,83
936662225,245000000.0,955737500,Sci-Fi Fantasy,Star Wars: The Force Awakens,PG-13,2015-12-18,136
144880014,,497243800,Animation,101 Dalmatians,G,1961-01-25,79
290475067,18000000.0,697142200,Sci-Fi Fantasy,The Empire Strikes Back,PG,1980-05-21,129
74000000,15000000.0,866320000,Historical Epic,Ben-Hur,G,1959-11-18,212
760507625,,847792600,Sci-Fi Adventure,Avatar,PG-13,2009-12-18,160
309306177,32500000.0,715893100,Sci-Fi Fantasy,Return of the Jedi,PG,1983-05-25,134
402453882,63000000.0,762059600,Sci-Fi Horror,Jurassic Park,PG-13,1993-06-11,127
474544677,115000000.0,749860100,Sci-Fi Fantasy,Star Wars: Episode I - The Phantom Menace,PG,1999-05-19,133
422783777,45000000.0,659679500,Animation,The Lion King,G,1994-06-15,89
156000000,,788022900,Crime Comedy,The Sting,PG,1973-12-25,129
248159971,18000000.0,682793800,Period Adventure,Raiders of the Lost Ark,PG,1981-06-12,115
104945305,,755951800,Comedy / Drama,The Graduate,PG,1967-12-21,106
76408097,,660693100,Animation,Fantasia,G,1941-01-29,120
652270625,150000000.0,698794900,Action / Adventure,Jurassic World,PG-13,2015-06-12,124
134966411,6000000.0,695234400,Crime Drama,The Godfather,R,1972-03-15,175
330252182,55000000.0,694343200,Comedy / Drama,Forrest Gump,PG-13,1994-07-06,141
102272727,,294666700,Family,Mary Poppins,G,1964-08-29,139
188755690,6000000.0,626437500,Musical,Grease,PG,1978-06-16,110
623357910,220000000.0,679629900,Action / Adventure,Marvel's The Avengers,PG-13,2012-05-04,142
63595658,,661232000,Action,Thunderball,PG,1965-12-21,129
534858444,185000000.0,656538100,Action / Adventure,The Dark Knight,PG-13,2008-07-18,150
141843612,,496314400,Animation,The Jungle Book,G,1967-10-18,78
51600000,,606428700,Animation,Sleeping Beauty,G,1959-01-29,75
242212467,30000000.0,601878400,Horror Comedy,Ghostbusters,PG,1984-06-08,107
441226247,150000000.0,628090200,Animation,Shrek 2,PG,2004-05-19,93
102308889,,623731400,Western,Butch Cassidy and the Sundance Kid,M,1969-09-23,110
106397186,,618783600,Romance,Love Story,GP,1970-12-16,100
403706375,139000000.0,614245200,Action / Adventure,Spider-Man,PG-13,2002-05-03,121
306169268,75000000.0,612336900,Sci-Fi Action,Independence Day,PG-13,1996-07-03,153
285761243,18000000.0,598770300,Family Comedy,Home Alone,PG,1990-11-16,105
84254167,,488985200,Animation,Pinocchio,G,1940-02-09,88
57777778,44000000.0,593901800,Historical Epic,Cleopatra,G,1963-06-12,192
234760478,,593606200,Action Comedy,Beverly Hills Cop,R,1984-12-05,105
51081062,,586092000,Action,Goldfinger,GP,1964-12-22,108
100489151,10000000.0,584423800,Drama / Thriller,Airport,G,1970-03-05,137
115000000,,580914300,Period Comedy,American Graffiti,PG,1973-08-01,110
