actual_dtg,budget_mojo,domestic total gross,genre,movie title,rating,release date,runtime (mins),budget_imdb,imdbscore,metascore,title,budget
198676459,0.0,1768000000,Historical Epic,Gone with the Wind,G,1939-12-15,238,3977000.0,8.2,97.0,Gone with the Wind,3977000.0
460998007,11000000.0,1261768700,Sci-Fi Fantasy,Star Wars,PG,1977-05-25,121,11000000.0,8.7,92.0,Star Wars,11000000.0
158671368,8199999.999999999,1258951900,Musical,The Sound of Music,G,1965-03-02,174,8200000.0,8.0,,The Sound of Music,8199999.999999999
435110554,10500000.0,1099155300,Family Adventure,E.T.: The Extra-Terrestrial,PG,1982-06-11,117,10500000.0,7.9,91.0,E.T.: The Extra-Terrestrial,10500000.0
658672302,200000000.0,1134577600,Romance,Titanic,PG-13,1997-12-19,194,200000000.0,7.7,74.0,Titanic,200000000.0
65500000,0.0,1158040000,Historical Epic,The Ten Commandments,Unrated,1956-10-05,220,13282712.0,7.9,,The Ten Commandments,13282712.0
260000000,7000000.0,1132216800,Horror Thriller,Jaws,PG,1975-06-20,125,8000000.0,8.0,86.0,Jaws,7000000.0
111721910,0.0,1097357400,Romance,Doctor Zhivago,GP,1965-12-22,197,11000000.0,8.0,,Doctor Zhivago,11000000.0
232906145,0.0,912363600,Horror,The Exorcist,R,1973-12-26,122,12000000.0,8.0,82.0,The Exorcist,12000000.0
184925486,1499000.0,684844800,Animation,Snow White and the Seven Dwarfs,G,1937-12-21,83,184925485.0,7.6,,Snow White and the Seven Dwarfs,1499000.0
936662225,245000000.0,955737500,Sci-Fi Fantasy,Star Wars: The Force Awakens,PG-13,2015-12-18,136,245000000.0,8.1,81.0,Star Wars: The Force Awakens,245000000.0
144880014,0.0,497243800,Animation,101 Dalmatians,G,1961-01-25,79,4000000.0,7.2,,101 Dalmatians,4000000.0
290475067,18000000.0,697142200,Sci-Fi Fantasy,The Empire Strikes Back,PG,1980-05-21,129,18000000.0,8.8,81.0,The Empire Strikes Back,18000000.0
74000000,15000000.0,866320000,Historical Epic,Ben-Hur,G,1959-11-18,212,15900000.0,8.1,90.0,Ben-Hur,15000000.0
760507625,0.0,847792600,Sci-Fi Adventure,Avatar,PG-13,2009-12-18,160,237000000.0,7.8,83.0,Avatar,237000000.0
309306177,32500000.0,715893100,Sci-Fi Fantasy,Return of the Jedi,PG,1983-05-25,134,32500000.0,8.4,53.0,Return of the Jedi,32500000.0
402453882,63000000.0,762059600,Sci-Fi Horror,Jurassic Park,PG-13,1993-06-11,127,63000000.0,8.1,68.0,Jurassic Park,63000000.0
474544677,115000000.0,749860100,Sci-Fi Fantasy,Star Wars: Episode I - The Phantom Menace,PG,1999-05-19,133,115000000.0,6.5,51.0,Star Wars: Episode I - The Phantom Menace,115000000.0
422783777,45000000.0,659679500,Animation,The Lion King,G,1994-06-15,89,45000000.0,8.5,83.0,The Lion King,45000000.0
156000000,0.0,788022900,Crime Comedy,The Sting,PG,1973-12-25,129,159600000.0,8.3,80.0,The Sting,159600000.0
248159971,18000000.0,682793800,Period Adventure,Raiders of the Lost Ark,PG,1981-06-12,115,18000000.0,8.5,85.0,Raiders of the Lost Ark,18000000.0
104945305,0.0,755951800,Comedy / Drama,The Graduate,PG,1967-12-21,106,3000000.0,8.0,77.0,The Graduate,3000000.0
76408097,0.0,660693100,Animation,Fantasia,G,1941-01-29,120,2280000.0,7.8,,Fantasia,2280000.0
652270625,150000000.0,698794900,Action / Adventure,Jurassic World,PG-13,2015-06-12,124,150000000.0,7.0,59.0,Jurassic World,150000000.0
134966411,6000000.0,695234400,Crime Drama,The Godfather,R,1972-03-15,175,6000000.0,9.2,100.0,The Godfather,6000000.0
330252182,55000000.0,694343200,Comedy / Drama,Forrest Gump,PG-13,1994-07-06,141,55000000.0,8.8,82.0,Forrest Gump,55000000.0
102272727,0.0,294666700,Family,Mary Poppins,G,1964-08-29,139,6000000.0,7.8,,Mary Poppins,6000000.0
188755690,6000000.0,626437500,Musical,Grease,PG,1978-06-16,110,6000000.0,7.2,70.0,Grease,6000000.0
623357910,220000000.0,679629900,Action / Adventure,Marvel's The Avengers,PG-13,2012-05-04,142,220000000.0,8.1,69.0,Marvel's The Avengers,220000000.0
63595658,0.0,661232000,Action,Thunderball,PG,1965-12-21,129,9000000.0,7.0,,Thunderball,9000000.0
534858444,185000000.0,656538100,Action / Adventure,The Dark Knight,PG-13,2008-07-18,150,185000000.0,9.0,82.0,The Dark Knight,185000000.0
141843612,0.0,496314400,Animation,The Jungle Book,G,1967-10-18,78,4000000.0,7.6,,The Jungle Book,4000000.0
141843612,0.0,496314400,Animation,The Jungle Book,G,1967-10-18,78,175000000.0,7.5,77.0,The Jungle Book,175000000.0
51600000,0.0,606428700,Animation,Sleeping Beauty,G,1959-01-29,75,6000000.0,7.3,,Sleeping Beauty,6000000.0
242212467,30000000.0,601878400,Horror Comedy,Ghostbusters,PG,1984-06-08,107,30000000.0,7.8,67.0,Ghostbusters,30000000.0
441226247,150000000.0,628090200,Animation,Shrek 2,PG,2004-05-19,93,436471036.0,7.2,75.0,Shrek 2,150000000.0
102308889,0.0,623731400,Western,Butch Cassidy and the Sundance Kid,M,1969-09-23,110,102308900.0,8.1,58.0,Butch Cassidy and the Sundance Kid,102308900.0
106397186,0.0,618783600,Romance,Love Story,GP,1970-12-16,100,106400000.0,6.9,84.0,Love Story,106400000.0
