actual_dtg,budget,domestic total gross,genre,movie title,rating,release date,runtime (mins)
"$198,676,459",N/A,"$1,768,000,000",Historical Epic,Gone with the Wind,G,"December 15, 1939",3 hrs. 58 min.
"$460,998,007",$11 million,"$1,261,768,700",Sci-Fi Fantasy,Star Wars,PG,"May 25, 1977",2 hrs. 1 min.
"$158,671,368",$8.2 million,"$1,258,951,900",Musical,The Sound of Music,G,"March 2, 1965",2 hrs. 54 min.
"$435,110,554",$10.5 million,"$1,099,155,300",Family Adventure,E.T.: The Extra-Terrestrial,PG,"June 11, 1982",1 hrs. 57 min.
"$658,672,302",$200 million,"$1,134,577,600",Romance,Titanic,PG-13,"December 19, 1997",3 hrs. 14 min.
"$65,500,000",N/A,"$1,158,040,000",Historical Epic,The Ten Commandments,Unrated,"October 5, 1956",3 hrs. 40 min.
"$260,000,000",$7 million,"$1,132,216,800",Horror Thriller,Jaws,PG,"June 20, 1975",2 hrs. 5 min.
"$111,721,910",N/A,"$1,097,357,400",Romance,Doctor Zhivago,GP,"December 22, 1965",3 hrs. 17 min.
"$232,906,145",N/A,"$912,363,600",Horror,The Exorcist,R,"December 26, 1973",2 hrs. 2 min.
"$184,925,486",$1.499 million,"$684,844,800",Animation,Snow White and the Seven Dwarfs,G,"December 21, 1937",1 hrs. 23 min.
"$936,662,225",$245 million,"$955,737,500",Sci-Fi Fantasy,Star Wars: The Force Awakens,PG-13,"December 18, 2015",2 hrs. 16 min.
"$144,880,014",N/A,"$497,243,800",Animation,101 Dalmatians,G,"January 25, 1961",1 hrs. 19 min.
"$290,475,067",$18 million,"$697,142,200",Sci-Fi Fantasy,The Empire Strikes Back,PG,"May 21, 1980",2 hrs. 9 min.
"$74,000,000",$15 million,"$866,320,000",Historical Epic,Ben-Hur,G,"November 18, 1959",3 hrs. 32 min.
"$760,507,625",N/A,"$847,792,600",Sci-Fi Adventure,Avatar,PG-13,"December 18, 2009",2 hrs. 40 min.
"$309,306,177",$32.5 million,"$715,893,100",Sci-Fi Fantasy,Return of the Jedi,PG,"May 25, 1983",2 hrs. 14 min.
"$402,453,882",$63 million,"$762,059,600",Sci-Fi Horror,Jurassic Park,PG-13,"June 11, 1993",2 hrs. 7 min.
